Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Carlos Rodolfo Abaunza Balladares,M,18,168,60,Nicaragua,NCA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Ruslan Abbasov,M,22,181,74,Azerbaijan,AZE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Younis Abdallah Rabee,M,23,169,68,Kuwait,KUW,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Moustafa Mounib Abdel Kader,M,0,176,67,United Arab Republic,UAR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
"Lawal Kolawole ""Kola"" Abdulai",M,21,172,66,Nigeria,NGR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
"Lawal Kolawole ""Kola"" Abdulai",M,25,172,66,Nigeria,NGR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Mohamed Samy Abdullah,M,0,165,65,United Arab Emirates,UAE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Glen Abrahams Martnez,M,22,179,72,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Guy A. Abrahams,M,23,173,65,Panama,PAN,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Harold Maurice Abrahams,M,20,183,75,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Harold Maurice Abrahams,M,24,183,75,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold
Sidney Solomon Abrahams,M,21,0,0,Great Britain,GBR,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Mohamed Abu Abdullah,M,27,173,74,Bangladesh,BAN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Mariano Acosta,M,22,0,0,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
George Wilson Acquaah,M,26,0,0,Ghana,GHA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Idrissa Adam,M,27,178,79,Cameroon,CMR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Marcus Adam,M,24,182,82,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
"Francis ""Frank"" Adams",M,26,169,68,Trinidad and Tobago,TTO,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Ralph Andrew Adams,M,20,170,56,Canada,CAN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Olapade Charles Adeniken,M,19,186,78,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Olapade Charles Adeniken,M,22,186,78,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Olapade Charles Adeniken,M,26,186,78,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Isiaq Adeyanju,M,28,162,65,Nigeria,NGR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Hammed Adio,M,21,185,63,Nigeria,NGR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Lon Joseph Aelter (-Freddy),M,22,0,0,Belgium,BEL,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Muhammad Afzal,M,21,184,69,Pakistan,PAK,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Pedro Emanuel Costa Agostinho,M,23,174,64,Portugal,POR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
"Michael George Raymond ""Mike"" Agostini",M,21,171,66,Trinidad and Tobago,TTO,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Eric Agueh,M,24,180,72,Benin,BEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Florencio Aguilar Mejia,M,32,168,62,Panama,PAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Mariano I. Aguilar,M,0,0,0,Mexico,MEX,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
"Michael Kofi ""Mike"" Ahey",M,24,196,72,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
"Michael Kofi ""Mike"" Ahey",M,28,196,72,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Toivo Eemil Ahjopalo (Andelin-),M,23,174,69,Finland,FIN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Ramli Ahmad,M,19,175,67,Malaysia,MAS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Masbah Ahmmed,M,21,0,0,Bangladesh,BAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Pascal Aho,M,0,0,0,Benin,BEN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Herminio F. Ahumada Ortiz,M,24,175,0,Mexico,MEX,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Ren Ahumada Rodrguez,M,0,0,0,Mexico,MEX,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Iwao Aizawa,M,21,0,0,Japan,JPN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Edward Alabi Ajado,M,23,0,0,Nigeria,NGR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Edward Alabi Ajado,M,27,0,0,Nigeria,NGR,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Eric Akogyiram,M,23,170,68,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Aleksandr Timofeyevich Aksinin,M,21,173,67,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Aleksandr Timofeyevich Aksinin,M,25,173,67,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Kemal Aksur,M,24,0,0,Turkey,TUR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Abdullah Sulaiman Al-Akbary,M,23,180,75,Oman,OMA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Abdul Kareem Salah Al-Awad,M,22,170,63,Kuwait,KUW,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Mohamed Fahd Al-Bishi,M,23,160,52,Saudi Arabia,KSA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Khalil Ahmed Al-Hanahneh,M,24,171,70,Jordan,JOR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Barakat Mubarak Al-Harthi,M,24,173,67,Oman,OMA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Barakat Mubarak Al-Harthi,M,28,173,67,Oman,OMA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Mansour Farhan Al-Juaid,M,24,175,62,Saudi Arabia,KSA,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Abdullah Salem Al-Khalidi,M,30,170,66,Oman,OMA,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Ahmed Hadib Al-Moamari Bashir,M,19,170,62,Oman,OMA,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Abdul Majeed Al-Mosawi,M,18,165,65,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
Jamal Abdullah Al-Saffar,M,24,175,70,Saudi Arabia,KSA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Jamal Abdullah Al-Saffar,M,28,175,70,Saudi Arabia,KSA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Mohamed Al-Sehly,M,21,165,59,Saudi Arabia,KSA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Abdullah Said Al-Sooli,M,25,172,73,Oman,OMA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Salem Mubarak M. Al-Yami,M,22,170,65,Saudi Arabia,KSA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Souhalia Alamou,M,24,177,78,Benin,BEN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Issa Alassane-Oussni,M,27,180,76,Benin,BEN,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Jos Luis Albarrn Calles,M,25,165,68,Spain,ESP,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Eduardo Luis Albe,M,28,172,66,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Luis Alers Acevedo,M,21,175,72,Puerto Rico,PUR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
"Niconnor ""Nico"" Alexander",M,23,170,69,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
"Niconnor ""Nico"" Alexander",M,27,170,69,Trinidad and Tobago,TTO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Liaqat Ali,M,28,0,0,Pakistan,PAK,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
mile Ali Khan,M,17,180,69,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Deji Aliu,M,20,187,75,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Deji Aliu,M,24,187,75,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Deji Aliu,M,28,187,75,Nigeria,NGR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Stanley Fabian Allotey,M,21,171,67,Ghana,GHA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Mwalimu Ally,M,27,177,68,Tanzania,TAN,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,0
scar Alvarado,M,0,0,0,Chile,CHI,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Golam Ambia,M,26,170,68,Bangladesh,BAN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Koukou Franck Amgnigan,M,25,181,76,Togo,TOG,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Jean-Claude Amoureux,M,20,170,62,France,FRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
"Daniel ""Dan"" Amuke",M,22,180,69,Kenya,KEN,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
"Erasmus Samuel A. O. ""Sam"" Amukun",M,19,169,64,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Sotirios Anastasopoulos,M,0,0,0,Greece,GRE,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Fritiof Normann Andersen,M,21,0,0,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Arthur Emilius David Anderson,M,25,0,0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Daniel Andr,M,18,178,70,Mauritius,MRI,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Nilson de Oliveira Andr,M,26,172,72,Brazil,BRA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Izuo Anno,M,22,0,0,Japan,JPN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Seraphino Antao,M,22,180,75,Kenya,KEN,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Seraphino Antao,M,26,180,75,Kenya,KEN,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Chamleunesouk Ao-Oudomphonh,M,25,168,51,Laos,LAO,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Shinji Aoto,M,25,178,73,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
"William Reuben ""Willie"" Applegarth",M,21,170,59,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Juan Argello Sandoval,M,21,155,55,Nicaragua,NCA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Hussain Arif,M,23,170,68,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
Ainsley Edward Armstrong,M,19,180,70,Trinidad and Tobago,TTO,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Ainsley Edward Armstrong,M,23,180,70,Trinidad and Tobago,TTO,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
"Laurence Spearman ""Larry"" Armstrong",M,32,183,0,Canada,CAN,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Jos Javier Arqus Ferrer,M,24,181,74,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Jos Javier Arqus Ferrer,M,28,181,74,Spain,ESP,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Nobuharu Asahara,M,24,179,76,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Nobuharu Asahara,M,32,179,76,Japan,JPN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Nobuharu Asahara,M,36,179,76,Japan,JPN,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Charles Asati,M,22,178,68,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Nickel Ashmeade,M,26,183,77,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Muhammad Aslam,M,30,0,0,Pakistan,PAK,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Volodymyr Mykolaiovych Atamas,M,22,181,76,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Derrick Atkins,M,24,185,88,Bahamas,BAH,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Derrick Atkins,M,28,185,88,Bahamas,BAH,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Henrico O. Atkins,M,22,173,60,Barbados,BAR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Henrico O. Atkins,M,25,173,60,Barbados,BAR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
"Sidney James Montford ""Sid"" Atkinson",M,27,186,76,South Africa,RSA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Philip Mawuli  Attipoe,M,21,173,68,Ghana,GHA,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Gilbert Ren  Auvergne,M,22,163,64,France,FRA,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Aggrey Sheroy Awori,M,21,188,77,Uganda,UGA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Arif Axundov,M,23,187,70,Azerbaijan,AZE,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Mehmet Ali Aybar,M,19,0,0,Turkey,TUR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Abdul Aziz,M,27,0,0,Pakistan,PAK,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Masoud Azizi,M,19,168,64,Afghanistan,AFG,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Masoud Azizi,M,23,168,64,Afghanistan,AFG,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Masoud Azizi,M,27,168,64,Afghanistan,AFG,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Akbar Babakhanlou,M,25,168,60,Iran,IRI,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Mikhail Yordanov Bachvarov,M,24,174,73,Bulgaria,BUL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Daniel Everton Bailey,M,17,179,68,Antigua and Barbuda,ANT,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Daniel Everton Bailey,M,21,179,68,Antigua and Barbuda,ANT,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Daniel Everton Bailey,M,25,179,68,Antigua and Barbuda,ANT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Daniel Everton Bailey,M,29,179,68,Antigua and Barbuda,ANT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Donovan Bailey,M,28,183,82,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,Gold
Donovan Bailey,M,32,183,82,Canada,CAN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Emmanuel McDonald Bailey,M,27,180,65,Great Britain,GBR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Emmanuel McDonald Bailey,M,31,180,65,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,Bronze
Ryan Bailey,M,23,193,82,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Inoke Ducia Bainimoli,M,25,183,70,Fiji,FIJ,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Walter Thane Baker,M,25,183,72,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,Silver
Piotr Balcerzak,M,25,175,68,Poland,POL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
tienne Marcel Bally,M,25,170,62,France,FRA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
tienne Marcel Bally,M,29,170,62,France,FRA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Clicien Alexandre Roger Bambuck,M,18,180,75,France,FRA,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Clicien Alexandre Roger Bambuck,M,22,180,75,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
Purma C. Bannerjee,M,0,0,0,India,IND,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Issi Israel Baran,M,24,180,69.5,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Max Barandun,M,21,174,70,Switzerland,SUI,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Jos Julio Barillas,M,20,0,0,Guatemala,GUA,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
James Jeffrey Barker,M,19,0,0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Nigel Chase Barker,M,23,0,0,Australia,AUS,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,Bronze
Umberto Barozzi,M,26,175,75,Italy,ITA,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Jos Eduardo Barrientos Schweyer,M,24,181,70,Cuba,CUB,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Lus Filipe Palma Barroso,M,18,170,64,Portugal,POR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Leonid Volodymyrovych Barteniev,M,23,174,70,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 100 metres,0
Lszl Bartha,M,23,0,0,Hungary,HUN,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Johann Bartl,M,22,0,0,Czechoslovakia,TCH,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
John Lavers Bartram,M,23,173,68,Australia,AUS,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Alberto Barucco,M,22,176,66,Argentina,ARG,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Jeremy Bascom,M,28,170,73,Guyana,GUY,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Werner Alfons Bastians,M,19,178,74,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Joseph Batangdon,M,22,176,74,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Julije Bauer,M,27,0,0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Asle Leonhard Bkkedal,M,23,0,0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
DeVon D. Bean,M,20,175,70,Bermuda,BER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
"Harry Burkholder ""Hal"" Beasley",M,20,0,0,Canada,CAN,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Karl Felix John Bechler,M,22,0,0,Germany,GER,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Enrique Jaime Beckles Mapp,M,24,0,0,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Martin Beckmann,M,21,0,0,Germany,GER,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Flix Bcquer Lastra,M,21,178,72,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 100 metres,0
"Joseph David Alide ""Dave"" Beland",M,21,0,0,Canada,CAN,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Marc Bellin du Coteau,M,22,0,0,France,FRA,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Frank Vern Belote,M,28,172,69,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Alfred John Bencini,M,19,0,0,Malta,MLT,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
"Serge Bengono, II",M,23,176,72,Cameroon,CMR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
Rubn Antonio Bentez,M,23,174,68,El Salvador,ESA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Ivan Benjamin,M,22,0,0,Sierra Leone,SLE,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Adolph Franz Marie ""Dolf"" Benz",M,19,0,0,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,0
Gian Nicola Berardi,M,25,178,72,San Marino,SMR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Andreas Berger,M,27,174,78,Austria,AUT,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Andreas Berger,M,31,174,78,Austria,AUT,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,0
"Christiaan David ""Chris"" Berger",M,21,183,77,Netherlands,NED,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
"Christiaan David ""Chris"" Berger",M,25,183,77,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Hctor Berra,M,22,182,83,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Gilbert Bessi,M,30,182,94,Monaco,MON,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
"Thomas Clifford ""Toms"" Beswick",M,24,0,0,Argentina,ARG,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
"Lawrence Butler Bradford ""Toby"" Betts",M,19,0,0,South Africa,RSA,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Luke Bezzina,M,21,0,0,Malta,MLT,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Carlos Antonio Bianchi Lutti,M,21,183,78,Argentina,ARG,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Klaus-Dieter Bieler,M,27,184,77,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 100 metres,0
Zain-ud-Din bin Abdul Wahab,M,24,170,59,Malaysia,MAS,1972 Summer,1972,Summer,Munich,Athletics,Athletics Men's 100 metres,0
Wilfried Bingangoye,M,19,172,80,Gabon,GAB,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Wilfried Bingangoye,M,23,172,80,Gabon,GAB,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 100 metres,0
Wilfried Bingangoye,M,27,172,80,Gabon,GAB,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Wilfried Bingangoye,M,31,172,80,Gabon,GAB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Samuel Birch,M,25,0,0,Liberia,LBR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
smundur Bjarnason,M,25,181,71,Iceland,ISL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Clyde Amel Blair,M,22,0,0,United States,USA,1904 Summer,1904,Summer,St. Louis,Athletics,Athletics Men's 100 metres,0
Yohan Blake,M,22,180,80,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,Silver
Yohan Blake,M,26,180,80,Jamaica,JAM,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Henry Edward Hugh Blakeney,M,21,0,0,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Keston Bledman,M,24,180,88,Trinidad and Tobago,TTO,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Keston Bledman,M,28,180,88,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,0
Johan Peter Bloch,M,25,0,0,Norway,NOR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Marc Blume,M,22,180,68,Germany,GER,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Marc Blume,M,26,180,68,Germany,GER,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
