Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Audrick Lightbourne,M,24,175,61,Bahamas,BAH,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Alan William Lillington,M,19,0,0,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 100 metres,0
Knut Andreas Lindberg,M,24,179,72,Sweden,SWE,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
Knut Andreas Lindberg,M,26,179,72,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
Knut Andreas Lindberg,M,30,179,72,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,0
Erik Lennart Henry Lindgren,M,21,181,74,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Erik Lindvall,M,25,0,0,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Stanley C. Lines,M,30,0,0,Bermuda,BER,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Alois F. Linka,M,25,172,62,Czechoslovakia,TCH,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
Donald Fithian Lippincott,M,18,178,72,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 100 metres,Bronze
Liu Changchun,M,22,0,0,China,CHN,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Liu Changchun,M,26,0,0,China,CHN,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's 100 metres,0
Harald Axel Fredrik Ljung,M,22,0,0,Sweden,SWE,1906 Summer,1906,Summer,Athina,Athletics,Athletics Men's 100 metres,0
"John Edward ""Jack"" London",M,23,183,75,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,Silver
Juan Jacinto Lpez Testa,M,22,174,65,Uruguay,URU,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
Miguel Lpez,M,22,0,0,Puerto Rico,PUR,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,0
Ren Zacharie Alfred Lorain,M,20,175,68,France,FRA,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's 100 metres,0
Carlos Lorenzo Maueco,M,22,181,63,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
Robert Loua,M,19,177,80,Guinea,GUI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 100 metres,0
Robert Loua,M,27,177,80,Guinea,GUI,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 100 metres,0
Bernabe Obana Lovina,M,27,0,0,Philippines,PHI,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 100 metres,0
William J. Lowe,M,0,0,0,Ireland,IRL,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,0
"Patrick ""Paddy"" Lowry",M,23,180,67,Ireland,IRL,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 100 metres,0
Ralf Lbke,M,19,192,80,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 100 metres,0
Nelson Lucas,M,21,182,68,Seychelles,SEY,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 100 metres,0
"Franciscus Jacobus ""Frans"" Luitjes",M,20,183,72,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 100 metres,0
"Francis Lawrence ""Frank"" Lukeman",M,22,178,0,Canada,CAN,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,0
